RestaurantName,URL,REWARDS_PROGRAM_FEATURE,Rewards,Rewards Signup,TOAST_GIFT_CARDS_FEATURE,Gift Cards,Find Card,ONLINE_ORDERING_FEATURE,Online Order
Kitchen for the Soul,http://kitchenforthesoulatx.com,,,,,,,ONLINE_ORDERING,https://www.toasttab.com/kitchen-for-the-soul/v2/online-order#!/
Subworks Deli,http://www.subworksdeli.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/subworks-deli/v2/online-order#!/
The Canteen,https://custerbeacon.com,,,,TOAST_GIFT_CARDS,,,,
Takee Outee,http://takeeouteemiami.com,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,
Georgian Hall,http://georgianhall.com/,,,,,,,,
Goodfellas Pizzeria - Distillery,https://www.goodfellaspizzeria.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Mila,http://www.milarestaurant.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Park Avenue Grill,http://www.parkavenuegrill.net,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Station 34,https://www.station34pizzapub.com/,,FAILED TO GET,FAILED TO GET,TOAST_GIFT_CARDS,FAILED TO GET,FAILED TO GET,ONLINE_ORDERING,FAILED TO GET
Mägo,http://www.magorestaurant.com,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/mago/giftcards,,,
EPAREPA Cafe & Bistro,http://www.eparepa.com,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,
JuneShine,http://www.juneshine.co,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Lyles BBQ Company,https://www.lylesbbqcompany.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Nami Nori,http://naminori.nyc,,,,TOAST_GIFT_CARDS,,,,
Upper Crust Pizza & Italian Restaurant,http://www.uppercrustpizzanj.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Two Brothers Chicken,https://www.twobrotherschicken.com,REWARDS_PROGRAM,,,,,,ONLINE_ORDERING,https://www.toasttab.com/locations/c36e476f-b6b3-42af-a643-e885c28e6f72#!/
Anna's Brick Oven Pizza and Pasta,http://www.annasbrickoven.com,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/annas-brick-oven-pizza-and-pasta/giftcards,,ONLINE_ORDERING,
Pepper Twins,http://txpeppertwins.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Carte Blanche Bistro & Bar,https://www.eatcarteblanche.com,,,,TOAST_GIFT_CARDS,,,,
RED the Steakhouse,http://redthesteakhouse.com,,,,TOAST_GIFT_CARDS,,,,
Agua Verde Cafe,http://aguaverdecafe.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/agua-verde-cafe-food-truck/giftcards,,,
Signature Theatre,https://www.sigtheatre.org,,,,,,,,
Valley Water Cafeteria,https://www.valleywater.org/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
White Harte Pub,https://whitehartepub.com/index.html,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/white-harte-pub/v2/online-order#!/
Josephine's Downtown,https://www.josephinesdowntown.com/t,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/josephine%27s%20downtown/giftcards,,,
