RestaurantName,URL,REWARDS_PROGRAM_FEATURE,Rewards,Rewards Signup,TOAST_GIFT_CARDS_FEATURE,Gift Cards,Find Card,ONLINE_ORDERING_FEATURE,Online Order
Voodoo Wing Company,https://www.voodoowingco.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Rebellion DC,http://rebelliondc.com/,,,,TOAST_GIFT_CARDS,,,,
Fire Wings Natomas,https://www.firewings.com/sacramento-ca-95835,,,,TOAST_GIFT_CARDS,,https://www.toasttab.com/fire-wings/findcard,ONLINE_ORDERING,https://www.toasttab.com/fire-wings-sacramento/v2/online-order#!/
Fire Wings Delta Shores,https://www.firewings.com/sacramento-ca-95832,,,,TOAST_GIFT_CARDS,,https://www.toasttab.com/fire-wings/findcard,ONLINE_ORDERING,https://www.toasttab.com/fire-wings-delta-shores/v2/online-order#!/
Fire Wings Berkeley,https://www.firewings.com/berkeley-ca-94704,,,,TOAST_GIFT_CARDS,,https://www.toasttab.com/fire-wings/findcard,ONLINE_ORDERING,https://www.toasttab.com/fire-wings-berkeley/v2/online-order#!/
Comal / Comal Next Door,http://www.comalnextdoor.com,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/comal/giftcards,,ONLINE_ORDERING,
VooDoo Wing Co,http://www.voodoowingco.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Farm & Fries,http://www.farmandfries.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
HUMMUS,http://www.hummusbowls.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/locations/47c47b01-68d6-4856-9921-b46193e60140
Pasta & Co.,http://www.pastaco.com/,,,,,,,,
Charcoal Venice,https://www.charcoalvenice.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
HaveABURGER,http://www.haveaburger.com/,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,https://www.toasttab.com/haveaburger/v2/online-order#!/
Fire Wings & Delilah's by Make Fish,https://www.firewings.com/sacramento-ca-95825,,,,TOAST_GIFT_CARDS,,https://www.toasttab.com/fire-wings/findcard,ONLINE_ORDERING,https://www.toasttab.com/fire-wings-howe-ave/v2/online-order#!/
320 Main,http://www.320mainsealbeach.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
University of Beer,https://www.theuob.com,,,,TOAST_GIFT_CARDS,https://www.toasttab.com/university-of-beer-davis/giftcards,,ONLINE_ORDERING,
Poquitos,http://www.vivapoquitos.com,,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Cisco's Restaurant Bakery & Bar,https://www.ciscosaustin.com/,,,,TOAST_GIFT_CARDS,,,,
altThai,http://www.altThai.com,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
Fiddlesticks Bar & Grill,http://fiddlesticksbar-grill.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,https://www.toasttab.com/fiddlesticks-bar-and-grill/giftcards,,ONLINE_ORDERING,https://www.toasttab.com/fiddlesticks-bar-and-grill/v2/online-order#!/
Holcombs Classics,http://www.holcombsclassics.com,,,,TOAST_GIFT_CARDS,,,,
Quicksand Culver City,http://www.quicksand.la,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,,
Lu's Sandwiches,http://www.lussandwiches.com,,,,,,,ONLINE_ORDERING,
LeBus Bistro,https://www.lebuseastfalls.com/,REWARDS_PROGRAM,,,TOAST_GIFT_CARDS,,,ONLINE_ORDERING,
