RestaurantName,URL,Rewards,Rewards Signup,Gift Cards,Find Card,Online Order
Fire Wings Fairfield,https://www.firewings.com/fairfield-ca-94533,,,,https://www.toasttab.com/fire-wings/findcard,https://www.toasttab.com/firewings-msa2-2-fairfield/v2/online-order#!/
Little Pub,http://littlepub.com/oldsaybrook/,,,,,https://www.toasttab.com/little-pub-old-saybrook/v2/online-order#!/
Koehn Bakery,http://www.koehnbakery.com,,,,,
Fire Wings Lodi,https://www.firewings.com/lodi-ca-95242,,,,https://www.toasttab.com/fire-wings/findcard,https://www.toasttab.com/fire-wings-lodi/v2/online-order#!/
D6 Pizza,http://d6pizza.com,,,https://www.toasttab.com/d6pizza/giftcards,,
Detroit Wing Company,http://www.detroitwingco.com,,,,,https://www.toasttab.com/detroit-wing-comapny-taylor/v2/online-order#!/
Lehmans Farmhouse,https://www.lehmansfarmhouse.com,,,,,
Revolution,http://www.revolutionatlanta.com,,,,,https://www.toasttab.com/revolution-coffee-works-truck/v2/online-order#!/
Taco Lingo,https://tacolingo.com/,,,,,https://www.toasttab.com/taco-lingo-uptown/v2/online-order#!/
Mellie's New York Deli & Eatery,http://www.MelliesNewYorkDeli.com,,,,,
Trattoria No. 10,http://www.trattoriaten.com/,,,https://www.toasttab.com/trattoria-no-10/giftcards,,
Whistling Table,http://www.whistlingtable.com,,,,,
Pie Tap Pizza Workshop + Bar,https://pie-tap.com/,,,,,
Wing Snob,http://www.thewingsnob.com,,,,,https://www.toasttab.com/locations/adfa9124-1f83-483d-9820-8761adaf50ed#!/
Izzy's Arcade Bar,http://www.izzysarcadebar.com,,,,,https://www.toasttab.com/izzysarcadebar/v2/online-order#!/
Penn's Bar and Grill,http://www.pennsbarandgrill.com,,,,,
Monarca's Authentic Mexican Cuisine,http://www.monarcasrestaurants.com,,,,,https://www.toasttab.com/monarcas-authentic-mexican-cuisine-bar-and-grill/v2/online-order#!/
Casa Amore,https://www.CasaAmore.net,,,,,
Big Mill's Cheesesteaks,https://bigmills.com/,,,,,https://www.toasttab.com/big-mills-cheesesteaks/v2/online-order#!/
Spice Thai,https://www.spicethaiusa.com,,,,,
Hank's Honky Tonk,https://hankshonkytonk.squarespace.com/config/?frameUrl=%2Fhome,,,,,
7venth Sun Brewing Company,http://www.7venthsun.com,,,,,
Trestle on Tenth,http://www.trestleontenth.com,,,,,
Pressroom,http://www.eatatpressroom.com,,,https://www.toasttab.com/pressroom/giftcards,,
Little Havana Restaurant,http://www.littlehavanarestaurant.com,,,,,https://www.toasttab.com/little-havana-restaurant/v2/online-order#!/
Dizzy Birds Rotisserie,http://www.dizzybirdsrotisserie.com,,,,,
Homestead.,http://www.eathomestead.com,,,,,
Crossroads Seafood and Steakhouse,http://www.CrossRoadsPlantCity.Com,,,,,
West Coast Provisions,https://westcoastrva.com,,,,,
Campus Cafe,http://www.campuscafe.mn,,,,,
Local Taco,https://www.localtaco.com,,,,,
The Lobster Pot,http://www.thelobsterpotrestaurant.com,,,https://www.toasttab.com/the-lobster-pot/giftcards,,https://www.toasttab.com/the-lobster-pot/v2/online-order#!/
Higher Grounds,https://www.highergrounds.me,,,,,
Kathryn's Grille,http://www.kathrynsgrille.com,,,,,
Hops n Drops,http://hopsndrops.com,,,,,https://www.toasttab.com/locations/ff7003e2-1f4d-4714-9b00-c5b8eda9a5b9#!/
Grand Central Bakery,http://www.grandcentralbakery.com,,,,,
Boxcar Betty's,http://www.boxcarbettys.com,,,,,
Burger George,https://www.toasttab.com/burger-george/v2/online-order,,,,,
Great Lakes Brewing Company,http://www.greatlakesbrewing.com,,,,,
